Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Status,Text Area 1,Text Area 2,Text Area 3,Text Area 4,Text Area 5,Text Area 6,Text Area 7,Text Area 8,Text Area 9,Text Area 10,Text Area 11,Text Area 12,Text Area 13,Text Area 14,Text Area 15,Text Area 16,Text Area 17,Text Area 18,Text Area 19,Text Area 20,Text Area 21,Text Area 22,Text Area 23,Text Area 24,Text Area 25,Text Area 26,Text Area 27,Text Area 28,Text Area 29,Text Area 30,Text Area 31,Text Area 32,Text Area 33,Text Area 34,Text Area 35,Text Area 36,Text Area 37,Text Area 38,Text Area 39,Text Area 40,Text Area 41,Text Area 42,Text Area 43,Text Area 44,Text Area 45,Text Area 46,Text Area 47,Text Area 48,Text Area 49,Comments
1,Document,,,,,,,,,Approved,OverYonder DB Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Page,,,,,,,,,,Page 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,institutions,PK,institution_id,uuid,,institution_name,text,,abbreviated_name,text,,address,text,,longitude,numeric,,latitude,numeric,,primary_color,text,,secondary_color,text,,logo_url,text,,created_at,timestamp,,updated_at,timestamp,,,,,,,,,,,,,,,,
4,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,org_media_links,FK,media_assets_id,uuid,FK,org_id,uuid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,friend_requests,FK,requester_id,uuid,FK,receiver_id,uuid,,status,status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,reports,PK,report_id,uuid,,reason,text,FK,reported_by,uuid,,created_at,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,events,PK,event_id,uuid,,title,text,,description,text,,address,text,,latitude,numeric,,longitude,numeric,,image_url,text,FK,created_by,uuid,FK,institution_id,uuid,FK,organization_id,uuid,,start_date,timestamp,,end_date,timestamp,,status,status,,visibility_level,visibility_level,,is_deleted,boolean,,updated_at,timestamp,
8,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,user_roles,PK,user_role_id,uuid,FK,role_id,uuid,FK,user_id,uuid,,created_at,timestamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,users,PK,user_id,uuid,,first_name,text,,last_name,text,,username,text,FK,institution_id,uuid,,email,text,,avatar_url,text,,onboarding,boolean,,about,text,,website_url,text,Key,interests,text array,FK,role_id,uuid,,,,,,,,,,,,,
10,"Entity (Key, Field, Type)",Entity Relationship,2,,,,,,,,event_tags,PK,event_id,uuid,PK,tag_id,uuid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
